Entry No.,Region,Time Slot,Delivery Day,Article Type,Recipient Type,Distance (km),Delivery Attempt,Delivery Success,Special Instructions
692,Bangalore East,10-12,Tuesday,Parcel,Government,13.31,1,True,Signature required
693,Bangalore Central,3-5,Wednesday,Letter,Government,12.32,2,True,Leave at doorstep
694,Bangalore South,10-12,Friday,Package,Individual,13.44,1,False,Signature required
695,Bangalore North,10-12,Wednesday,Parcel,Government,6.48,2,True,Call before delivery
696,Bangalore South,12-2,Friday,Letter,Business,9.4,1,True,Signature required
697,Bangalore East,12-2,Thursday,Document,Individual,2.19,1,True,Signature required
698,Bangalore South,12-2,Friday,Package,Individual,5.56,2,False,Call before delivery
699,Bangalore North,10-12,Thursday,Package,Government,9.61,2,True,Signature required
700,Bangalore South,3-5,Wednesday,Letter,Business,10.82,2,False,No special instructions
701,Bangalore South,3-5,Monday,Parcel,Business,9.9,1,False,No special instructions
702,Bangalore Central,3-5,Thursday,Package,Individual,6.66,1,True,Signature required
703,Bangalore South,3-5,Tuesday,Parcel,Government,2.71,2,True,Signature required
704,Bangalore East,12-2,Wednesday,Parcel,Individual,12.1,2,False,No special instructions
705,Bangalore East,3-5,Saturday,Package,Individual,9.59,1,True,Call before delivery
706,Bangalore Central,3-5,Saturday,Parcel,Government,5.79,2,True,Leave at doorstep
707,Bangalore Central,12-2,Monday,Letter,Government,3.47,1,True,No special instructions
708,Bangalore Central,3-5,Saturday,Letter,Business,11.72,2,True,No special instructions
709,Bangalore Central,12-2,Saturday,Package,Government,3.61,2,False,Signature required
710,Bangalore Central,3-5,Tuesday,Parcel,Individual,2.85,1,True,Signature required
711,Bangalore East,10-12,Thursday,Parcel,Government,6.66,1,False,Call before delivery
712,Bangalore North,12-2,Friday,Parcel,Government,8.74,1,True,No special instructions
713,Bangalore South,3-5,Monday,Letter,Government,3.94,2,False,Leave at doorstep
714,Bangalore East,3-5,Tuesday,Letter,Individual,8.48,2,False,Leave at doorstep
715,Bangalore North,10-12,Saturday,Parcel,Individual,7.7,1,False,Call before delivery
716,Bangalore North,12-2,Monday,Document,Individual,5.7,1,False,No special instructions
717,Bangalore East,12-2,Thursday,Letter,Individual,1.14,1,False,Signature required
718,Bangalore North,3-5,Saturday,Parcel,Government,5.3,1,False,Call before delivery
719,Bangalore East,3-5,Friday,Package,Business,2.15,2,True,Call before delivery
720,Bangalore Central,10-12,Friday,Letter,Business,3.94,2,True,Signature required
721,Bangalore Central,12-2,Monday,Letter,Individual,12.34,2,False,Signature required
722,Bangalore East,10-12,Tuesday,Letter,Individual,7.5,1,False,No special instructions
723,Bangalore Central,10-12,Friday,Letter,Government,4.18,2,False,Leave at doorstep
724,Bangalore East,12-2,Monday,Parcel,Individual,8.32,2,False,No special instructions
725,Bangalore North,3-5,Thursday,Document,Government,14.5,2,True,No special instructions
726,Bangalore South,12-2,Monday,Package,Individual,4.45,2,False,Leave at doorstep
727,Bangalore East,12-2,Wednesday,Parcel,Government,7.75,1,True,Leave at doorstep
728,Bangalore Central,10-12,Wednesday,Parcel,Business,2.69,1,False,Signature required
729,Bangalore South,3-5,Friday,Letter,Individual,8.3,2,False,No special instructions
730,Bangalore North,3-5,Friday,Parcel,Business,2.67,2,True,Leave at doorstep
731,Bangalore North,10-12,Thursday,Parcel,Business,8.94,1,True,Leave at doorstep
732,Bangalore South,3-5,Monday,Parcel,Government,12.44,2,False,Leave at doorstep
733,Bangalore North,3-5,Tuesday,Package,Business,14.26,2,False,No special instructions
734,Bangalore East,12-2,Friday,Package,Individual,13.62,1,False,Call before delivery
735,Bangalore Central,12-2,Saturday,Document,Business,3.43,1,False,Call before delivery
736,Bangalore North,10-12,Monday,Package,Individual,2.77,1,False,Signature required
737,Bangalore Central,3-5,Tuesday,Parcel,Government,4.65,1,True,Call before delivery
738,Bangalore Central,10-12,Thursday,Letter,Individual,1.62,2,True,No special instructions
739,Bangalore East,3-5,Tuesday,Letter,Government,10.17,2,False,No special instructions
740,Bangalore North,10-12,Saturday,Package,Business,12.86,1,False,Call before delivery
741,Bangalore East,3-5,Monday,Package,Government,11.72,1,True,Leave at doorstep
742,Bangalore South,3-5,Thursday,Letter,Government,4.61,1,True,Call before delivery
743,Bangalore Central,10-12,Thursday,Document,Business,7.57,2,True,Leave at doorstep
744,Bangalore East,10-12,Monday,Letter,Individual,12.82,1,True,Signature required
745,Bangalore North,3-5,Thursday,Letter,Business,5.81,2,True,Signature required
746,Bangalore North,12-2,Thursday,Package,Government,7.77,1,False,Leave at doorstep
747,Bangalore South,10-12,Tuesday,Letter,Government,3.6,2,False,Signature required
748,Bangalore East,10-12,Tuesday,Letter,Government,4.23,1,True,No special instructions
749,Bangalore South,3-5,Thursday,Document,Individual,6.64,2,True,No special instructions
750,Bangalore North,12-2,Thursday,Document,Government,4.62,2,True,Signature required
751,Bangalore Central,10-12,Friday,Parcel,Government,6.33,2,True,No special instructions
752,Bangalore East,3-5,Wednesday,Package,Business,10.81,2,False,Call before delivery
753,Bangalore East,10-12,Friday,Parcel,Business,6.2,1,True,Call before delivery
754,Bangalore East,10-12,Thursday,Package,Business,5.11,1,False,No special instructions
755,Bangalore South,10-12,Monday,Document,Business,9.23,2,False,No special instructions
756,Bangalore North,3-5,Thursday,Document,Business,2.41,1,False,Call before delivery
757,Bangalore South,10-12,Thursday,Letter,Government,11.99,2,False,Call before delivery
758,Bangalore Central,3-5,Tuesday,Document,Business,2.53,1,False,Leave at doorstep
759,Bangalore North,12-2,Thursday,Package,Government,5.73,1,False,Signature required
760,Bangalore Central,12-2,Monday,Document,Government,13.38,1,True,No special instructions
761,Bangalore North,3-5,Tuesday,Package,Government,8.3,1,False,No special instructions
762,Bangalore North,10-12,Thursday,Letter,Government,7.71,1,True,Signature required
763,Bangalore East,3-5,Friday,Document,Business,8.51,1,False,Signature required
764,Bangalore East,10-12,Wednesday,Letter,Business,14.62,1,False,Signature required
765,Bangalore East,3-5,Tuesday,Parcel,Business,12.49,1,False,No special instructions
766,Bangalore Central,12-2,Saturday,Letter,Business,13.76,2,True,Call before delivery
767,Bangalore East,12-2,Monday,Package,Government,5.63,2,False,Call before delivery
768,Bangalore North,3-5,Thursday,Letter,Business,13.67,1,True,No special instructions
769,Bangalore East,10-12,Monday,Parcel,Government,1.21,1,True,Leave at doorstep
770,Bangalore Central,3-5,Wednesday,Package,Individual,2.9,2,False,Call before delivery
771,Bangalore Central,3-5,Monday,Package,Government,3.69,1,False,Signature required
772,Bangalore North,12-2,Saturday,Parcel,Individual,7.05,2,False,Leave at doorstep
773,Bangalore East,10-12,Wednesday,Package,Business,5.82,1,True,Call before delivery
774,Bangalore South,3-5,Thursday,Parcel,Business,13.78,1,False,Leave at doorstep
775,Bangalore North,12-2,Friday,Parcel,Government,3.42,2,False,No special instructions
776,Bangalore North,12-2,Monday,Document,Government,10.19,1,True,Call before delivery
777,Bangalore South,3-5,Saturday,Package,Individual,8.85,2,False,Leave at doorstep
778,Bangalore North,10-12,Thursday,Parcel,Business,2.93,1,False,No special instructions
779,Bangalore Central,12-2,Wednesday,Parcel,Government,10.59,1,False,Leave at doorstep
780,Bangalore East,12-2,Monday,Letter,Government,11.0,2,True,Call before delivery
781,Bangalore Central,10-12,Wednesday,Document,Individual,7.14,2,False,Leave at doorstep
782,Bangalore East,12-2,Friday,Package,Individual,3.74,1,False,Leave at doorstep
783,Bangalore North,12-2,Thursday,Package,Business,3.97,2,False,Leave at doorstep
784,Bangalore South,3-5,Tuesday,Package,Government,12.58,1,False,Leave at doorstep
785,Bangalore Central,3-5,Tuesday,Document,Government,11.27,1,True,Call before delivery
786,Bangalore North,3-5,Tuesday,Letter,Government,8.79,2,True,Leave at doorstep
787,Bangalore Central,10-12,Monday,Document,Individual,13.54,2,True,Signature required
788,Bangalore North,3-5,Monday,Letter,Government,10.33,1,False,No special instructions
789,Bangalore East,10-12,Tuesday,Letter,Individual,6.8,2,True,Signature required
790,Bangalore Central,10-12,Friday,Package,Business,5.85,2,True,Signature required
791,Bangalore East,3-5,Friday,Package,Government,14.16,2,False,No special instructions
792,Bangalore East,10-12,Saturday,Parcel,Individual,2.58,2,False,No special instructions
793,Bangalore South,10-12,Monday,Parcel,Government,4.53,1,False,Signature required
794,Bangalore Central,10-12,Friday,Parcel,Individual,6.64,2,True,No special instructions
795,Bangalore South,3-5,Saturday,Letter,Business,5.3,1,True,Leave at doorstep
796,Bangalore North,10-12,Monday,Parcel,Individual,11.62,2,True,Call before delivery
797,Bangalore East,3-5,Friday,Document,Government,12.59,2,True,Signature required
798,Bangalore East,3-5,Saturday,Document,Government,7.18,2,True,No special instructions
799,Bangalore East,12-2,Tuesday,Parcel,Government,12.02,1,True,Leave at doorstep
800,Bangalore South,3-5,Monday,Parcel,Business,13.38,2,False,Call before delivery
801,Bangalore Central,10-12,Monday,Letter,Business,12.53,2,False,No special instructions
802,Bangalore North,12-2,Friday,Parcel,Individual,6.84,2,False,Call before delivery
803,Bangalore Central,10-12,Wednesday,Parcel,Government,9.28,1,True,Signature required
804,Bangalore North,3-5,Friday,Letter,Individual,7.7,1,True,Leave at doorstep
805,Bangalore North,3-5,Saturday,Letter,Individual,3.46,2,False,Call before delivery
806,Bangalore East,10-12,Monday,Document,Government,13.99,2,True,No special instructions
807,Bangalore Central,3-5,Thursday,Package,Individual,2.89,2,True,Leave at doorstep
808,Bangalore North,3-5,Friday,Letter,Business,1.57,2,True,Signature required
809,Bangalore Central,10-12,Tuesday,Package,Government,3.33,2,True,No special instructions
810,Bangalore North,3-5,Friday,Document,Individual,13.22,1,True,Call before delivery
811,Bangalore Central,12-2,Friday,Document,Business,14.52,1,True,Call before delivery
812,Bangalore Central,12-2,Thursday,Document,Individual,14.62,2,False,Leave at doorstep
813,Bangalore East,3-5,Thursday,Document,Individual,1.33,2,False,Leave at doorstep
814,Bangalore North,3-5,Wednesday,Document,Individual,13.78,2,False,Signature required
815,Bangalore North,12-2,Wednesday,Letter,Individual,13.23,1,True,No special instructions
816,Bangalore South,3-5,Tuesday,Parcel,Government,4.99,1,False,No special instructions
817,Bangalore Central,3-5,Wednesday,Parcel,Business,13.01,1,True,Leave at doorstep
818,Bangalore Central,10-12,Monday,Letter,Business,14.92,1,True,No special instructions
819,Bangalore North,12-2,Monday,Parcel,Individual,4.99,1,False,Signature required
820,Bangalore South,10-12,Monday,Document,Government,2.07,2,False,No special instructions
821,Bangalore East,12-2,Thursday,Package,Business,5.02,2,False,No special instructions
822,Bangalore North,3-5,Friday,Document,Individual,11.77,2,False,Leave at doorstep
823,Bangalore Central,3-5,Wednesday,Parcel,Individual,11.6,1,False,Leave at doorstep
824,Bangalore Central,12-2,Tuesday,Parcel,Government,14.56,1,False,Call before delivery
825,Bangalore Central,12-2,Friday,Package,Business,5.05,1,True,Leave at doorstep
826,Bangalore East,12-2,Tuesday,Letter,Government,11.14,1,False,No special instructions
827,Bangalore East,10-12,Monday,Package,Government,14.39,2,False,Leave at doorstep
828,Bangalore East,12-2,Thursday,Parcel,Government,4.48,1,False,No special instructions
829,Bangalore East,12-2,Friday,Letter,Government,1.08,1,False,Call before delivery
830,Bangalore South,3-5,Thursday,Parcel,Business,12.81,1,False,Call before delivery
831,Bangalore North,10-12,Monday,Package,Business,4.78,2,False,No special instructions
832,Bangalore Central,10-12,Tuesday,Document,Government,14.97,2,True,Call before delivery
833,Bangalore South,12-2,Thursday,Letter,Government,11.99,1,True,Call before delivery
834,Bangalore East,12-2,Wednesday,Document,Business,9.17,1,True,No special instructions
835,Bangalore Central,3-5,Friday,Letter,Government,12.77,2,False,Leave at doorstep
836,Bangalore Central,10-12,Monday,Letter,Business,11.17,2,True,Leave at doorstep
837,Bangalore East,3-5,Thursday,Parcel,Business,11.34,1,True,No special instructions
838,Bangalore Central,3-5,Tuesday,Parcel,Business,11.3,2,True,No special instructions
839,Bangalore East,3-5,Friday,Letter,Government,2.61,2,True,Call before delivery
840,Bangalore South,3-5,Wednesday,Letter,Individual,5.69,2,True,Leave at doorstep
841,Bangalore East,10-12,Saturday,Document,Individual,9.85,1,True,Signature required
842,Bangalore East,12-2,Thursday,Parcel,Business,2.7,1,False,Signature required
843,Bangalore Central,12-2,Tuesday,Document,Individual,14.59,2,False,No special instructions
844,Bangalore South,3-5,Tuesday,Package,Individual,4.83,2,False,No special instructions
845,Bangalore South,3-5,Saturday,Letter,Individual,12.8,2,True,Call before delivery
846,Bangalore East,3-5,Monday,Document,Individual,5.06,2,False,No special instructions
847,Bangalore Central,12-2,Monday,Letter,Business,2.94,1,False,Signature required
848,Bangalore North,10-12,Saturday,Parcel,Government,1.2,2,True,Leave at doorstep
849,Bangalore East,10-12,Saturday,Letter,Business,7.01,2,False,Signature required
850,Bangalore South,3-5,Monday,Letter,Government,13.36,1,False,Call before delivery
851,Bangalore East,10-12,Monday,Letter,Individual,12.86,2,True,Call before delivery
852,Bangalore Central,12-2,Monday,Letter,Government,13.23,1,False,No special instructions
853,Bangalore South,3-5,Wednesday,Letter,Government,1.38,2,True,Signature required
854,Bangalore South,12-2,Tuesday,Package,Business,7.56,1,False,Leave at doorstep
855,Bangalore Central,10-12,Tuesday,Package,Business,3.11,2,True,No special instructions
856,Bangalore South,10-12,Friday,Package,Individual,6.35,1,False,Signature required
857,Bangalore East,3-5,Tuesday,Document,Individual,8.32,1,False,No special instructions
858,Bangalore North,12-2,Wednesday,Document,Business,7.43,1,True,Signature required
859,Bangalore Central,3-5,Monday,Document,Business,5.19,2,True,No special instructions
860,Bangalore Central,10-12,Friday,Letter,Business,1.26,1,False,Signature required
861,Bangalore Central,10-12,Tuesday,Package,Individual,1.03,2,False,No special instructions
862,Bangalore North,10-12,Saturday,Package,Individual,9.36,1,True,Signature required
863,Bangalore South,3-5,Tuesday,Document,Government,8.02,1,True,Call before delivery
864,Bangalore Central,3-5,Saturday,Parcel,Government,10.26,1,False,Signature required
865,Bangalore East,12-2,Monday,Letter,Government,6.92,2,True,No special instructions
866,Bangalore Central,10-12,Friday,Parcel,Business,12.32,1,True,Signature required
867,Bangalore Central,3-5,Friday,Document,Individual,14.36,2,False,Leave at doorstep
868,Bangalore Central,3-5,Friday,Letter,Individual,5.42,2,False,Leave at doorstep
869,Bangalore Central,3-5,Tuesday,Document,Individual,1.44,2,True,No special instructions
870,Bangalore East,3-5,Monday,Parcel,Business,12.52,2,True,Signature required
871,Bangalore North,3-5,Wednesday,Parcel,Individual,1.5,2,True,Signature required
872,Bangalore North,10-12,Friday,Package,Business,12.84,2,False,No special instructions
873,Bangalore East,10-12,Thursday,Document,Business,2.65,1,False,Signature required
874,Bangalore East,3-5,Friday,Document,Individual,1.07,1,True,Signature required
875,Bangalore East,12-2,Tuesday,Parcel,Business,14.26,1,False,Signature required
876,Bangalore East,10-12,Monday,Document,Government,4.24,1,True,No special instructions
877,Bangalore East,3-5,Tuesday,Parcel,Business,14.03,1,True,Call before delivery
878,Bangalore North,10-12,Friday,Package,Government,6.29,2,True,Call before delivery
879,Bangalore Central,12-2,Tuesday,Package,Government,8.4,2,True,No special instructions
880,Bangalore North,12-2,Tuesday,Letter,Individual,11.77,1,False,Leave at doorstep
881,Bangalore South,12-2,Thursday,Document,Business,4.42,2,True,No special instructions
882,Bangalore North,10-12,Thursday,Letter,Business,14.24,2,False,No special instructions
883,Bangalore Central,12-2,Thursday,Letter,Individual,4.02,2,False,Signature required
884,Bangalore North,10-12,Tuesday,Parcel,Business,5.13,2,True,Signature required
885,Bangalore East,12-2,Thursday,Document,Government,10.76,2,True,Signature required
886,Bangalore East,12-2,Thursday,Letter,Government,13.12,1,False,Signature required
887,Bangalore South,10-12,Thursday,Letter,Individual,2.75,2,True,Signature required
888,Bangalore North,10-12,Wednesday,Parcel,Government,4.54,2,True,Leave at doorstep
889,Bangalore South,3-5,Thursday,Package,Business,8.91,2,True,Signature required
890,Bangalore South,12-2,Friday,Letter,Government,13.38,1,False,No special instructions
891,Bangalore East,3-5,Saturday,Document,Government,14.58,2,False,Signature required
892,Bangalore East,3-5,Thursday,Parcel,Business,12.73,2,True,Call before delivery
893,Bangalore East,10-12,Saturday,Package,Individual,13.38,2,True,No special instructions
894,Bangalore South,12-2,Monday,Letter,Business,11.84,1,False,Leave at doorstep
895,Bangalore Central,3-5,Wednesday,Parcel,Business,6.64,2,True,Leave at doorstep
896,Bangalore South,10-12,Monday,Document,Individual,14.86,1,True,Signature required
897,Bangalore North,10-12,Monday,Document,Business,14.43,2,False,Call before delivery
898,Bangalore North,10-12,Thursday,Parcel,Business,2.25,1,True,Call before delivery
899,Bangalore Central,12-2,Friday,Letter,Government,3.59,1,True,Signature required
900,Bangalore North,12-2,Monday,Parcel,Individual,6.05,2,True,Call before delivery
901,Bangalore South,3-5,Wednesday,Letter,Individual,8.55,1,True,Leave at doorstep
902,Bangalore East,3-5,Wednesday,Letter,Individual,11.49,1,True,Signature required
903,Bangalore North,10-12,Thursday,Letter,Individual,1.06,1,True,Call before delivery
904,Bangalore South,12-2,Saturday,Document,Business,4.58,2,True,Call before delivery
905,Bangalore South,10-12,Wednesday,Package,Business,13.33,2,False,Leave at doorstep
906,Bangalore South,3-5,Saturday,Letter,Individual,3.24,1,True,No special instructions
907,Bangalore Central,10-12,Wednesday,Package,Business,11.52,2,True,Signature required
908,Bangalore East,3-5,Saturday,Document,Individual,5.13,1,True,No special instructions
909,Bangalore South,3-5,Monday,Package,Individual,13.13,1,False,Call before delivery
910,Bangalore Central,3-5,Thursday,Package,Business,14.65,2,False,Call before delivery
911,Bangalore East,12-2,Monday,Letter,Business,11.6,1,False,Call before delivery
912,Bangalore Central,3-5,Tuesday,Package,Government,14.87,2,False,No special instructions
913,Bangalore Central,12-2,Monday,Parcel,Individual,14.0,1,False,Leave at doorstep
914,Bangalore South,3-5,Wednesday,Parcel,Individual,14.45,1,True,Signature required
915,Bangalore North,10-12,Wednesday,Package,Business,7.99,1,False,Leave at doorstep
916,Bangalore South,10-12,Wednesday,Document,Government,3.71,1,True,Signature required
917,Bangalore North,3-5,Tuesday,Letter,Government,11.69,2,True,No special instructions
918,Bangalore North,10-12,Wednesday,Document,Government,14.95,1,False,No special instructions
919,Bangalore Central,10-12,Tuesday,Parcel,Government,9.23,2,False,Leave at doorstep
920,Bangalore North,10-12,Wednesday,Letter,Individual,3.62,2,True,No special instructions
921,Bangalore East,3-5,Friday,Letter,Individual,9.44,1,True,No special instructions
922,Bangalore Central,12-2,Monday,Letter,Government,14.27,1,True,Call before delivery
923,Bangalore South,10-12,Tuesday,Document,Business,14.77,2,True,Signature required
924,Bangalore East,12-2,Thursday,Parcel,Business,11.26,2,True,Call before delivery
925,Bangalore South,3-5,Friday,Document,Individual,10.58,2,True,No special instructions
926,Bangalore South,12-2,Monday,Document,Government,11.92,2,True,No special instructions
927,Bangalore South,10-12,Thursday,Document,Individual,1.9,1,True,Call before delivery
928,Bangalore Central,3-5,Wednesday,Document,Individual,14.89,1,True,Leave at doorstep
929,Bangalore Central,10-12,Friday,Package,Business,12.78,1,True,Call before delivery
930,Bangalore South,12-2,Wednesday,Letter,Business,10.76,1,False,No special instructions
931,Bangalore East,3-5,Friday,Parcel,Business,11.92,1,True,No special instructions
932,Bangalore East,3-5,Wednesday,Letter,Individual,8.65,2,False,Leave at doorstep
933,Bangalore Central,10-12,Wednesday,Package,Government,1.61,2,False,No special instructions
934,Bangalore Central,3-5,Thursday,Package,Government,7.13,2,True,Leave at doorstep
935,Bangalore North,12-2,Monday,Document,Government,10.7,1,False,Signature required
936,Bangalore Central,12-2,Wednesday,Parcel,Individual,1.74,1,True,No special instructions
937,Bangalore East,12-2,Wednesday,Document,Individual,9.92,1,False,Signature required
938,Bangalore Central,10-12,Monday,Parcel,Government,12.88,2,False,Leave at doorstep
939,Bangalore East,10-12,Friday,Letter,Individual,12.67,1,True,Signature required
940,Bangalore South,10-12,Wednesday,Document,Government,8.86,2,False,Signature required
941,Bangalore East,10-12,Saturday,Letter,Individual,1.05,1,True,Leave at doorstep
942,Bangalore North,10-12,Friday,Parcel,Business,12.8,1,False,No special instructions
943,Bangalore South,10-12,Tuesday,Document,Government,1.78,2,True,Signature required
944,Bangalore North,3-5,Tuesday,Parcel,Business,2.5,2,False,No special instructions
945,Bangalore North,3-5,Saturday,Package,Individual,13.12,2,True,Leave at doorstep
946,Bangalore North,12-2,Thursday,Document,Business,4.7,2,True,Call before delivery
947,Bangalore South,10-12,Friday,Letter,Government,5.25,2,True,Call before delivery
948,Bangalore North,3-5,Friday,Package,Government,5.24,2,True,Signature required
949,Bangalore North,10-12,Tuesday,Letter,Business,7.74,2,True,Signature required
950,Bangalore South,12-2,Friday,Document,Business,4.97,2,False,Leave at doorstep
951,Bangalore East,12-2,Tuesday,Package,Government,8.96,1,True,No special instructions
952,Bangalore Central,3-5,Monday,Letter,Business,3.64,1,False,Signature required
953,Bangalore East,10-12,Tuesday,Letter,Government,7.96,2,True,Leave at doorstep
954,Bangalore Central,10-12,Friday,Package,Government,13.17,1,True,Signature required
955,Bangalore Central,12-2,Friday,Parcel,Business,13.69,1,True,Signature required
956,Bangalore North,12-2,Tuesday,Document,Individual,14.17,1,False,Signature required
957,Bangalore East,10-12,Monday,Package,Business,7.29,1,False,Signature required
958,Bangalore Central,12-2,Wednesday,Package,Business,14.04,2,False,Leave at doorstep
959,Bangalore North,10-12,Thursday,Package,Business,4.2,1,True,No special instructions
960,Bangalore North,3-5,Friday,Parcel,Business,1.4,1,False,Leave at doorstep
961,Bangalore South,12-2,Saturday,Package,Government,13.17,2,True,Leave at doorstep
962,Bangalore East,10-12,Friday,Parcel,Business,9.53,1,False,Signature required
963,Bangalore North,3-5,Saturday,Parcel,Individual,5.79,1,False,Leave at doorstep
964,Bangalore South,10-12,Monday,Package,Business,9.64,1,False,Signature required
965,Bangalore South,10-12,Friday,Package,Government,13.08,1,True,Call before delivery
966,Bangalore South,10-12,Friday,Parcel,Government,11.02,1,True,Call before delivery
967,Bangalore East,10-12,Friday,Letter,Individual,13.84,2,False,No special instructions
968,Bangalore South,12-2,Wednesday,Parcel,Individual,14.52,1,True,Leave at doorstep
969,Bangalore Central,12-2,Thursday,Letter,Business,12.81,1,False,Call before delivery
970,Bangalore Central,12-2,Friday,Parcel,Business,13.36,1,True,Leave at doorstep
971,Bangalore Central,3-5,Tuesday,Document,Individual,8.09,2,True,Call before delivery
972,Bangalore Central,12-2,Friday,Parcel,Government,6.96,2,False,No special instructions
973,Bangalore South,3-5,Wednesday,Parcel,Individual,8.59,1,False,No special instructions
974,Bangalore East,3-5,Friday,Parcel,Individual,3.21,2,False,Call before delivery
975,Bangalore North,3-5,Saturday,Parcel,Business,10.13,1,False,No special instructions
976,Bangalore East,3-5,Thursday,Letter,Government,5.06,1,True,No special instructions
977,Bangalore East,10-12,Friday,Parcel,Business,13.15,2,True,No special instructions
978,Bangalore South,10-12,Monday,Parcel,Individual,3.46,1,True,Leave at doorstep
979,Bangalore Central,10-12,Saturday,Document,Business,1.35,2,False,Signature required
980,Bangalore Central,10-12,Saturday,Document,Individual,13.97,1,True,Leave at doorstep
981,Bangalore North,10-12,Monday,Parcel,Individual,11.13,2,True,Leave at doorstep
982,Bangalore South,3-5,Tuesday,Letter,Individual,12.96,1,True,Leave at doorstep
983,Bangalore Central,10-12,Wednesday,Package,Business,3.7,2,True,Leave at doorstep
984,Bangalore North,12-2,Thursday,Parcel,Individual,6.72,1,False,No special instructions
985,Bangalore Central,12-2,Saturday,Letter,Government,10.04,1,True,No special instructions
986,Bangalore North,12-2,Thursday,Letter,Individual,4.31,2,True,No special instructions
987,Bangalore East,12-2,Tuesday,Parcel,Individual,1.97,1,True,Signature required
988,Bangalore North,3-5,Wednesday,Document,Business,1.05,2,True,Leave at doorstep
989,Bangalore South,3-5,Thursday,Package,Government,11.02,1,True,Signature required
990,Bangalore Central,12-2,Tuesday,Letter,Government,8.73,1,True,Call before delivery
991,Bangalore Central,10-12,Friday,Parcel,Business,13.63,2,True,Call before delivery
992,Bangalore Central,12-2,Thursday,Parcel,Individual,2.36,2,False,Call before delivery
993,Bangalore Central,12-2,Saturday,Document,Business,8.39,2,False,Leave at doorstep
994,Bangalore East,3-5,Monday,Letter,Business,1.36,2,True,No special instructions
995,Bangalore South,3-5,Monday,Parcel,Business,13.75,2,False,No special instructions
996,Bangalore East,10-12,Thursday,Package,Individual,1.75,1,True,Call before delivery
997,Bangalore South,10-12,Monday,Document,Individual,8.13,1,False,Call before delivery
998,Bangalore South,3-5,Wednesday,Letter,Business,10.53,1,True,No special instructions
999,Bangalore Central,3-5,Tuesday,Package,Business,9.14,1,True,No special instructions
1000,Bangalore East,12-2,Friday,Package,Government,8.18,1,False,Call before delivery
1001,Bangalore South,3-5,Thursday,Document,Government,2.63,2,True,Signature required
1002,Bangalore South,3-5,Saturday,Package,Individual,3.8,2,False,No special instructions
1003,Bangalore East,10-12,Wednesday,Document,Government,8.76,2,True,Leave at doorstep
1004,Bangalore South,10-12,Wednesday,Letter,Government,2.23,1,False,Call before delivery
1005,Bangalore South,10-12,Thursday,Package,Individual,6.0,1,True,No special instructions
1006,Bangalore East,10-12,Tuesday,Letter,Business,1.51,1,False,No special instructions
1007,Bangalore East,10-12,Tuesday,Package,Individual,3.2,1,True,Call before delivery
1008,Bangalore East,10-12,Friday,Document,Business,11.44,1,False,Call before delivery
1009,Bangalore South,3-5,Saturday,Package,Individual,5.73,1,False,Signature required
1010,Bangalore North,3-5,Saturday,Package,Individual,11.99,2,True,No special instructions
1011,Bangalore South,12-2,Friday,Package,Individual,13.98,1,True,Signature required
1012,Bangalore Central,3-5,Saturday,Document,Individual,1.72,1,True,Call before delivery
1013,Bangalore South,12-2,Thursday,Letter,Business,10.62,2,False,Leave at doorstep
1014,Bangalore Central,12-2,Tuesday,Document,Business,1.13,1,True,Leave at doorstep
1015,Bangalore Central,3-5,Tuesday,Document,Government,5.79,1,False,No special instructions
1016,Bangalore East,3-5,Saturday,Package,Business,5.86,1,True,No special instructions
1017,Bangalore East,12-2,Thursday,Package,Individual,7.81,1,True,Call before delivery
1018,Bangalore North,3-5,Tuesday,Package,Business,4.11,1,True,Leave at doorstep
1019,Bangalore East,10-12,Friday,Document,Business,7.14,2,False,Signature required
1020,Bangalore East,12-2,Friday,Parcel,Government,12.24,2,False,Leave at doorstep
1021,Bangalore Central,12-2,Wednesday,Package,Business,14.77,1,True,No special instructions
1022,Bangalore East,12-2,Friday,Parcel,Individual,1.19,2,False,Signature required
1023,Bangalore North,3-5,Friday,Document,Individual,4.11,2,False,Signature required
1024,Bangalore Central,12-2,Friday,Parcel,Business,4.83,1,True,Signature required
1025,Bangalore Central,12-2,Friday,Document,Individual,5.71,1,False,No special instructions
1026,Bangalore East,3-5,Wednesday,Document,Individual,14.44,1,True,Call before delivery
1027,Bangalore East,3-5,Saturday,Package,Business,8.18,2,True,No special instructions
1028,Bangalore North,3-5,Friday,Parcel,Business,10.51,1,False,Signature required
1029,Bangalore Central,10-12,Monday,Letter,Individual,14.52,1,True,Leave at doorstep
1030,Bangalore North,12-2,Monday,Document,Individual,14.36,1,True,Signature required
1031,Bangalore South,3-5,Wednesday,Parcel,Business,4.86,1,False,Signature required
1032,Bangalore South,10-12,Wednesday,Letter,Government,2.89,2,True,No special instructions
1033,Bangalore East,12-2,Saturday,Package,Individual,4.24,1,False,No special instructions
1034,Bangalore Central,12-2,Monday,Document,Individual,5.19,1,True,Signature required
1035,Bangalore Central,3-5,Wednesday,Parcel,Business,14.16,2,True,Call before delivery
1036,Bangalore East,3-5,Tuesday,Document,Individual,11.91,2,False,Signature required
1037,Bangalore South,3-5,Monday,Document,Government,11.72,1,True,Leave at doorstep
1038,Bangalore North,12-2,Tuesday,Parcel,Business,13.9,2,False,Leave at doorstep
